trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",20,0,-35.25240594068905,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,15,12.945251828248841,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",25,12,-18.831708626036434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.39933952940627321}",25,10,13.740811076808743,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.39015168430823027}",25,0,-108.88819578006577,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.38092482436688185}",20,11,10.008523920308576,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.37165987226053299}",20,6,12.646801378732674,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.36235775447667362}",20,2,2.0271354723649084,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.3530194012193304}",20,0,-19.07807741356825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.34364574631604705}",20,0,1.2543412710167618,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.33423772712450261}",30,19,10.184595229382488,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.32479628443877623}",30,14,21.933093535598353,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.31532236239526867}",20,16,6.633754223197453,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.30581690837828934}",20,1,-65.28743622843473,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.29628087292531874}",20,8,0.7982047791562012,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.28671520963195551}",20,2,22.64905004779285,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27712087505655758}",25,1,19.434603544127356,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",30,16,-31.98205755470564,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.25785003253266964}",25,2,-41.025334698733545,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",20,0,22.20892781001041,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",25,14,20.582124036156124,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",25,17,13.972280158709056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,14,10.155539563824192,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,8,18.930051463219915,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.19944972099757285}",25,5,-5.659059046975387,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.18964083129783424}",25,16,15.632595828181552,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.17981297767299936}",20,5,-76.38049581855596,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.16996714290024081}",30,7,38.57380639143314,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16010431155483126}",20,10,19.380845432572965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,0,-8.43380627979926,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.14033160584673673}",20,6,26.386674809665916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.13042370873814554}",35,21,26.51301406992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.12050276936736662}",20,8,21.440729589561133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.11056977982006959}",25,9,4.674113235935836,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.10062573338693173}",20,12,-27.486825758382622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.09067162446430968}",20,14,12.946513941151004,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.08070844845480063}",20,13,12.063300552348123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.070737201667702906}",30,18,8.646074655476392,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.060758881219385899}",20,0,32.98128340406662,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.050774484933579181}",30,8,38.66808860463371,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.040785011241591035}",20,10,17.837946442306094,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,3,32.17146057793234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,16,7.689324294040599,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,18,30.642412656282815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,13,11.7427345763379,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,32.146213115983315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,8,19.716481322882416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,17.382024901943975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,18,26.40263514179173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,4,36.52575692255103,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,11,15.477602317717276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,2,30.401652252390367,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",20,13,13.024207403978782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,13,21.847513753156242,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",25,16,15.491664907550236,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",30,13,31.48452789854769,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
